buyer_id,seller_id,relationship_score
00048ebf5503ef1dfb03eec05312583eeb2b57320ac6823710631e7d77ea36c5,00048ebf5503ef1dfb03eec05312583eeb2b57320ac6823710631e7d77ea36c5,1
001046b5061e28476b83fe2335b04d3210bed72a2fee173fffa7f497ec7bbd25,5d2233f5a1a6435891142442fac09a77809d0c16496f07b2575c3a451fbd7f60,1
00119737eef11ff1d30c2061dd1e19c06d963d5a125c92ea6328a45c2d4c5f45,5d2233f5a1a6435891142442fac09a77809d0c16496f07b2575c3a451fbd7f60,1
0012614e5a1366f102a3497b67f8ec9a8009c802aa69590db00a0b1fd1a13153,5d2233f5a1a6435891142442fac09a77809d0c16496f07b2575c3a451fbd7f60,1
0013cdaff46e67574660e0ddd214e5032e3ff5d94744e167feb755940299b693,5d2233f5a1a6435891142442fac09a77809d0c16496f07b2575c3a451fbd7f60,2
00147521aaca8e79862215a9b9e88bf92b22e7f5cc00fab1f7832ffbcaf26598,00147521aaca8e79862215a9b9e88bf92b22e7f5cc00fab1f7832ffbcaf26598,1
001aa5e447130ae69fb4699960094fe6d8f7aa1178f23d8f153200db39e24a86,5d2233f5a1a6435891142442fac09a77809d0c16496f07b2575c3a451fbd7f60,1
0021909a6127ef423831f8ceae8ddecffd4bdc00c0a27a63c666de5793f79478,5d2233f5a1a6435891142442fac09a77809d0c16496f07b2575c3a451fbd7f60,1
0026eba831da3b7127429ffef8fcef0f96b547f5c7fab0571119ad70b7635953,5d2233f5a1a6435891142442fac09a77809d0c16496f07b2575c3a451fbd7f60,1
0028c8f1a70447767dad74972b3858ba7416a053c32d92cc77bcae08d5ec9405,5d2233f5a1a6435891142442fac09a77809d0c16496f07b2575c3a451fbd7f60,1
002ead1395e772dedbb47368fcbe317e14987e5f991221b1a1cb7ff04386082c,002ead1395e772dedbb47368fcbe317e14987e5f991221b1a1cb7ff04386082c,2
002ead1395e772dedbb47368fcbe317e14987e5f991221b1a1cb7ff04386082c,5d2233f5a1a6435891142442fac09a77809d0c16496f07b2575c3a451fbd7f60,2
0046efdf33e2daaf84f66608ec0a82c3de6f1cea3a46ca92075a84009d647b59,0046efdf33e2daaf84f66608ec0a82c3de6f1cea3a46ca92075a84009d647b59,1
004a216de975ded6f3d225cfa0e92711d80adce02f69a5fe8eaecf546c2a57cc,5d2233f5a1a6435891142442fac09a77809d0c16496f07b2575c3a451fbd7f60,1
004b581667b0893f35747f932b2816a606f5e3bf8c59f1af9c9d2379811cc8bb,004b581667b0893f35747f932b2816a606f5e3bf8c59f1af9c9d2379811cc8bb,1
0051ae4152308f6e56d87fb44c89680f06a23bda068d04a689b32b2bc81c84dd,0051ae4152308f6e56d87fb44c89680f06a23bda068d04a689b32b2bc81c84dd,1
0053525a6f5f50aa03def67dbf720928ecaefcfeba186705a046f3e8c4e12160,0053525a6f5f50aa03def67dbf720928ecaefcfeba186705a046f3e8c4e12160,2
0053525a6f5f50aa03def67dbf720928ecaefcfeba186705a046f3e8c4e12160,5d2233f5a1a6435891142442fac09a77809d0c16496f07b2575c3a451fbd7f60,2
005acb4402c154a1b1a8cdd73baccc0382af3d564b47ca6bec30fb30b992e0b1,5d2233f5a1a6435891142442fac09a77809d0c16496f07b2575c3a451fbd7f60,2
005b1bd9e458944b7beb065eef259a7b58fb15b940e17995d682e11104977e2b,5d2233f5a1a6435891142442fac09a77809d0c16496f07b2575c3a451fbd7f60,1
005c4c22406d2af58c80342a34b4b1a5002da5275d41b9b3af6b899763e835f1,5d2233f5a1a6435891142442fac09a77809d0c16496f07b2575c3a451fbd7f60,1
0065b092b02a7bfc2e76f4204a32fcee3e765769526a65d2223d35cb07bd70f8,0065b092b02a7bfc2e76f4204a32fcee3e765769526a65d2223d35cb07bd70f8,2
0065b092b02a7bfc2e76f4204a32fcee3e765769526a65d2223d35cb07bd70f8,5d2233f5a1a6435891142442fac09a77809d0c16496f07b2575c3a451fbd7f60,1
0070ef414c842e865c759dbe19be3f915b0f69f7b91380c6289266d0aa832765,0070ef414c842e865c759dbe19be3f915b0f69f7b91380c6289266d0aa832765,1
0071539103a9218629606ce1a1229b3f1a72bd75fb0a8bd52f6c250eea66784c,0071539103a9218629606ce1a1229b3f1a72bd75fb0a8bd52f6c250eea66784c,1
0071539103a9218629606ce1a1229b3f1a72bd75fb0a8bd52f6c250eea66784c,5d2233f5a1a6435891142442fac09a77809d0c16496f07b2575c3a451fbd7f60,2
00a779fe86545a319d2aef620de64d4958781520a5f4a1420135ddeb1867a15a,00a779fe86545a319d2aef620de64d4958781520a5f4a1420135ddeb1867a15a,2
00aa06127166837b70da5cc5b6f58d6b2ea43669bed464ac4ab6141ce21e444a,00aa06127166837b70da5cc5b6f58d6b2ea43669bed464ac4ab6141ce21e444a,1
00b418190390ff76889882c49feeb70dd3d91e08058f7143e7e8975c00a56c7d,5d2233f5a1a6435891142442fac09a77809d0c16496f07b2575c3a451fbd7f60,1
00c894507e451b7cf691aea9dc54f6eed26f603d4efa4c5ff847104eab6f8e18,00c894507e451b7cf691aea9dc54f6eed26f603d4efa4c5ff847104eab6f8e18,2
